Date,ammunition,small_arms,artillery,canned_food,barrels,aeroplanes,cotton,dye,wool,silk,coal,sulphur,iron,timber,tropical_wood,rubber,oil,precious_metal,steel,cement,machine_parts,glass,fuel,fertilizer,explosives,clipper_convoy,steamer_convoy,electric_gear,fabric,lumber,paper,cattle,fish,fruit,grain,tobacco,tea,coffee,opium,automobiles,telephones,wine,liquor,regular_clothes,luxury_clothes,furniture,luxury_furniture,radio,
1860.1.1,1.0068493186813186,0.9571654192654195,1.0292336324786324,0.9532236217948721,1.0,1.0,1.0453016666666668,1.1027285042735044,0.9879142857142863,1.3279609487179487,1.0863652173913045,1.1320091452991452,0.9859933333333337,1.168818518518518,1.3321840455840455,4.30831923076923,4.305104871794872,1.0,1.023156683033279,0.9936316025641025,1.3063544011239903,1.075403448275862,1.0,1.013192487179487,1.025460730769231,1.0363663736263737,1.0230046942800788,1.0,1.0645856125356123,1.1455300000000002,1.0215872549019611,1.0418366666666667,1.1538237606837611,1.1196240740740748,1.081437878787879,1.2645999999999997,1.2916083826429985,1.8903706959706958,1.5353017628205123,1.0,1.0,1.4108964314036478,1.1842334935897436,1.1958565870910698,1.9411825285996052,1.2557166405023552,2.295953611473273,1.0,
1861.1.1,1.0090615939849625,0.9610146230440965,1.0135043991228072,0.9690487499999998,1.0,1.0,1.0503134210526317,1.0918440789473682,0.9883484962406017,1.3376715263157897,1.0682521739130437,1.095663377192983,0.9832163157894739,1.151895029239766,1.3232185185185183,4.317447180451128,4.318237324561405,1.0,1.0526855543113103,1.0158213651315788,1.2726019394376349,1.0640351179673317,1.0,1.0047416315789475,1.0306483289473687,1.0387157142857142,1.007343194331984,1.0,1.0531159356725146,1.1388228947368422,1.017351857585139,1.0321373684210524,1.1376784210526318,1.109162280701754,1.0713677033492819,1.2231894736842097,1.2553122469635631,1.8201012531328324,1.4645197368421052,1.0,1.0,1.3715520347259902,1.174882072368421,1.152460707803993,1.9809448663967615,1.2084190655209452,2.3501709366636923,1.0,
1862.1.1,1.0090013834586469,0.959476842105263,1.0061112236842105,0.9865164967105262,1.0,1.0,1.0455718421052629,1.0704415570175436,0.9913590225563902,1.3616686578947372,1.0500431350114419,1.0588292105263157,0.9856247368421054,1.122918713450292,1.31195014619883,4.209823308270676,4.253151907894738,1.0,1.0480336506159016,1.0142572697368424,1.2443407570295604,1.0479573502722326,1.0,0.9974186578947369,1.0519717631578946,1.0348334899749378,1.0017912105263156,1.0,1.054140350877193,1.1253884210526315,1.0081322755417956,1.0434642105263159,1.1304803508771937,1.101113304093567,1.068374282296651,1.1690684210526319,1.2279571862348178,1.6091180451127816,1.3106685855263156,1.0,1.0,1.2973613402061859,1.148911143092105,1.1042739110707807,1.9828171457489883,1.1604665950590765,2.363948880463872,1.0,
1863.1.1,1.00857992481203,0.9616553556187768,1.0068400131578947,1.0222585855263155,1.0,1.0,1.0441230263157895,1.0680927850877193,0.9951221804511278,1.3748130789473687,1.030345194508009,1.0254194736842106,0.9880331578947369,1.0977473684210524,1.2993650097465885,4.138738909774436,4.18479572368421,1.0,1.0425970884658453,1.010651825657895,1.2076647512617158,1.0346046279491834,1.0,0.9904643684210525,1.079380052631579,1.0307693796992479,0.9960285060728744,1.0,1.054141081871345,1.114851578947368,0.9965889318885449,1.0543961842105263,1.1327628070175446,1.0918935672514616,1.06813480861244,1.137218421052631,1.206984817813765,1.3982604010025064,1.1800306743421052,1.0,1.0,1.2335172002170371,1.1310069901315787,1.0742536751361165,1.9498051781376515,1.1231582169709988,2.3391521543264946,1.0,
1864.1.1,0.9961316842105262,0.9509407681365577,1.0064097719298246,1.023493338815789,1.0,1.0,1.0263421052631578,1.0595317543859646,0.9939932330827076,1.3751028421052633,1.0114487414187643,1.0100976315789474,0.9910436842105262,1.0711125730994153,1.2820479044834305,4.071718533834587,4.1159346710526306,1.0,1.0008428331466963,0.9808694736842102,1.1728073900504685,1.0193443738656989,1.0,0.9959697368421052,1.0941839736842105,1.0257519611528825,0.9879720566801615,1.0,1.0525314327485378,1.1090563157894737,0.9878346749226008,1.0574255263157895,1.1375040350877197,1.082528216374269,1.0586755980861242,1.1127921052631575,1.1931048582995951,1.2611586466165408,1.1136826480263158,1.0,1.0,1.2110317959848076,1.1340938322368417,1.0650794918330309,1.8947717368421053,1.0910108485499463,2.281817011596788,1.0,
1865.1.1,0.9787010977443606,0.9362037908961593,1.0108922105263156,1.0266213815789473,1.0,1.0,1.0151467105263157,1.0458122587719296,0.9894774436090229,1.3686492631578955,0.9986212814645304,1.0011414912280703,0.9915705263157896,1.048282748538012,1.263315984405458,4.08853954887218,4.090581008771928,1.0,1.0000021276595743,0.960438404605263,1.1274134246575345,1.010805898366606,1.0,0.9977082105263161,1.08470102631579,1.028128947368421,0.9818810890688261,1.0,1.0427271929824562,1.1101099999999997,0.9776085139318886,1.0446498684210523,1.136801578947369,1.0639441520467834,1.039397966507177,1.0895638755980863,1.1819609311740886,1.2359461152882205,1.1151643914473681,1.0,1.0,1.2129326641345632,1.1531090460526316,1.0565866606170597,1.839292502024292,1.0796145005370568,2.220695829616414,1.0,
1866.1.1,0.9679101245421244,0.925242390852391,1.0207681367521366,1.033526298076923,1.0,1.0,0.9971766666666665,1.0286176068376067,0.986814285714286,1.3512916153846155,0.9922956521739131,1.0001711111111111,0.9899533333333335,1.0236592592592593,1.237647625830959,4.109333882783884,4.094471965811965,1.0,0.9977085106382979,0.9589503846153844,1.0868286476993325,1.0074310344827588,1.0,1.0148863076923076,1.0761897051282048,1.0260204884004884,0.9810228875739643,1.0,1.0356425925925927,1.1155,0.9751631975867272,1.0251533333333334,1.1211458119658122,1.0412024216524218,1.017854545454546,1.0623006993006996,1.1917083826429977,1.2639958485958482,1.1240822916666664,1.0,1.0,1.224936426116838,1.1793407852564104,1.0568614942528738,1.7817370295857988,1.0944918890633175,2.157339456757932,1.0,
1867.1.1,0.9655754586466168,0.9184339402560455,1.027654157894737,1.036021973684211,1.0,1.0,0.9926242105263159,1.0153439035087717,0.9913590225563907,1.3517379736842106,0.9902605263157894,0.9992097368421055,0.9863773684210526,1.0032084795321639,1.2239993177387913,4.269279887218046,4.167081074561405,1.0,0.9955183650615897,0.9533262171052632,1.0369285868781544,1.0085350272232307,1.0,1.009535552631579,1.067961013157895,1.0219574999999999,0.9806167004048584,1.0,1.030873245614035,1.1130076315789477,0.9738123839009292,1.011195394736842,1.099397368421053,1.0188729532163745,1.004794019138756,1.0459796650717703,1.2214738866396762,1.3130898496240604,1.1317928453947372,1.0,1.0,1.2444610689093876,1.2034872121710523,1.0562687386569873,1.7240626761133602,1.1372435016111708,2.097283724353256,1.0,
1868.1.1,0.9715211278195489,0.9203205618776674,1.028826350877193,1.0306055098684208,1.0,1.0,0.993282763157895,1.0192073026315789,0.9936169172932333,1.3695447631578948,0.9928947368421056,1.0031610526315788,0.9866031578947368,1.0032084795321634,1.220340789473684,4.557307969924812,4.357990986842105,1.0,0.9910346024636058,0.9533261842105264,0.994926560922855,1.0119867513611616,1.0,1.0124068157894741,1.0677766315789476,1.021719179197995,0.9817433117408907,1.0,1.0321903508771928,1.1093197368421048,0.9745096749226009,0.9998682894736839,1.0821871929824562,1.0048238304093569,1.0006032296650715,1.0450215311004787,1.2552108299595144,1.3955008771929824,1.1406009868421054,1.0,1.0,1.2482901519262077,1.2148467927631574,1.050727813067151,1.6813084129554654,1.1855719656283563,2.064870298840321,1.0,
1869.1.1,0.9679085714285713,0.9170599075391179,1.0287824473684213,1.015162845394737,1.0,1.0,0.9917022368421053,1.030182894736842,0.9970037593984957,1.3739438157894734,0.9916348970251716,1.0019756578947367,0.9882589473684211,1.0052573099415198,1.2224869883040932,4.84473947368421,4.641196798245614,1.0,0.9860464725643897,0.9488316776315788,0.9479593150684936,1.0115325771324863,1.0,0.9933882631578946,1.0608883157894735,1.0225784210526316,0.9811232712550607,1.0,1.043604239766082,1.100890263157895,0.9699387770897836,0.9965755263157898,1.0765677192982461,0.9988236842105264,0.9995255980861247,1.0457397129186603,1.2745616396761135,1.4490614035087717,1.1442230263157893,1.0,1.0,1.2463349430276727,1.2281822779605263,1.0386470508166972,1.6479560283400814,1.225191890440386,2.0555704237288137,1.0,
